"","ID","sex","age"
"1","EA580462",NA,"adult"
"2","EA580463",NA,"juv"
"3","EA580463",NA,NA
"4","EA580464",NA,"juv"
"5","EA580464",NA,NA
"6","EA580467",NA,"juv"
"7","EA580467",NA,NA
"8","EA580467",NA,"adult"
"9","EA580469",NA,"juv"
"10","EA580470",NA,"adult"
"11","EA580476",NA,"adult"
"12","EA580477",NA,"adult"
"13","EA580480",NA,"adult"
"14","EA580481",NA,"adult"
"15","EA580490","M","adult"
"16","EA580491","M","adult"
"17","EA580493","F","adult"
"18","EA580495","F","adult"
"19","EA580497","M","adult"
"20","EA580498","F","adult"
"21","EA580499","M",NA
"22","EA580500","F",NA
"23","EA580500","F","adult"
"24","EA581501",NA,NA
"25","EA581504",NA,NA
"26","EA581505",NA,NA
"27","EA581508",NA,NA
"28","EA581509",NA,NA
"29","EA581511",NA,NA
"30","EA581512",NA,NA
"31","EA581513",NA,NA
"32","EA581514",NA,NA
"33","EA581515",NA,NA
"34","EA581520",NA,NA
"35","EA581521",NA,NA
"36","EA581522",NA,NA
"37","EA581523",NA,NA
"38","EA581527",NA,NA
"39","EA581540",NA,NA
"40","EA581542",NA,NA
"41","EA635103",NA,NA
"42","EA635108",NA,NA
"43","EA635119",NA,NA
"44","EA635142",NA,NA
"45","EA639684",NA,"adult"
"46","EA671454",NA,NA
"47","EC103787","F","adult"
"48","EC103788","F","adult"
"49","EC103791","M","juv"
"50","EC103792","M","juv"
"51","EC110552",NA,NA
